t,raw
37048.0,2.5610368
37049.0,2.855222
37050.0,2.710396
37051.0,2.447907
37052.0,1.8947253
37053.0,1.2665493
37054.0,0.4793346
37055.0,0.0037949043
37056.0,-0.5053632
37057.0,-1.3241792
37058.0,-1.8583089
37059.0,-2.5088072
37060.0,-2.5263214
37061.0,-2.4146144
37062.0,-2.4135902
37063.0,-2.2405431
37064.0,-2.1595345
37065.0,-1.7705122
37066.0,-1.9425809
37067.0,-1.6178364
37068.0,-1.4201461
37069.0,-1.290157
37070.0,-0.87561864
37071.0,-1.0383269
37072.0,-1.1050425
37073.0,-1.1074588
37074.0,-1.1336554
37075.0,-0.9186144
37076.0,-0.84777945
37077.0,-0.41932964
37078.0,-0.5809268
37079.0,-0.67462695
37080.0,-0.73963344
37081.0,-1.1444466
37082.0,-1.0162784
37083.0,-0.83672494
37084.0,-0.7143518
37085.0,-0.84787214
37086.0,-0.4919835
37087.0,-0.47467282
37088.0,-0.51215035
37089.0,-0.3509443
37090.0,-0.24228868
37091.0,-0.3034419
37092.0,-0.22292793
37093.0,-0.09642736
37094.0,0.19833909
37095.0,0.30755645
37096.0,0.2425872
37097.0,0.17713727
37098.0,0.07058038
37099.0,0.09632727
37100.0,0.11343856
37101.0,0.45021376
37102.0,0.40674806
37103.0,0.74202895
37104.0,0.75429946
37105.0,0.4087382
37106.0,0.46737432
37107.0,0.29042134
37108.0,0.07174573
37109.0,0.059258085
37110.0,-0.05857998
37111.0,0.036091533
37112.0,0.39133713
37113.0,0.153679
37114.0,-0.3786257
37115.0,-0.35399193
37116.0,-0.3625227
37117.0,-0.52516574
37118.0,-0.10203434
37119.0,0.036067877
37120.0,-0.12076119
37121.0,0.2058228
37122.0,-0.13094975
37123.0,-0.012527245
37124.0,-0.19688553
37125.0,-0.29454708
37126.0,-0.2439477
37127.0,-0.38427418
37128.0,-0.4182102
37129.0,-0.5480022
37130.0,-0.7294876
37131.0,-0.83554035
37132.0,-1.0381567
37133.0,-1.2213526
37134.0,-1.705663
37135.0,-1.632267
37136.0,-1.6485993
37137.0,-1.6143185
37138.0,-1.6839353
37139.0,-1.5922737
37140.0,-1.4203582
37141.0,-1.3221933
37142.0,-1.1110119
37143.0,-0.71940124
37144.0,-0.75040996
37145.0,-0.5602871
37146.0,-0.17971876
37147.0,0.075858444
37148.0,-0.095895626
37149.0,0.015268524
37150.0,0.20889689
37151.0,0.18422863
37152.0,0.087696806
37153.0,0.11495236
37154.0,0.08970603
37155.0,0.056099743
37156.0,0.0029003567
37157.0,0.4966966
37158.0,0.51010156
37159.0,0.6541325
37160.0,0.5235629
37161.0,0.43296644
37162.0,0.3001526
37163.0,0.49928716
37164.0,0.4444094
37165.0,0.5257732
37166.0,0.20778663
37167.0,-0.05488598
37168.0,0.040336434
37169.0,-0.20609322
37170.0,0.2946059
37171.0,0.07323874
37172.0,-0.11721266
37173.0,0.15067261
37174.0,-0.032340705
37175.0,-0.16630764
37176.0,0.039968938
37177.0,-0.22734433
37178.0,-0.18893072
37179.0,0.003729767
37180.0,0.2956642
37181.0,0.08593459
37182.0,0.11528519
37183.0,0.08725411
37184.0,-0.02554473
37185.0,-0.37066266
37186.0,-0.021060122
37187.0,0.0030754807
37188.0,0.13532044
37189.0,0.27327657
37190.0,0.100877136
37191.0,0.2689722
37192.0,0.41824168
37193.0,0.30719826
37194.0,0.68284845
37195.0,0.5807988
37196.0,0.34878305
37197.0,0.12770858
37198.0,0.17404054
37199.0,-0.32464147
37200.0,-0.29750857
37201.0,-0.21155559
37202.0,-0.15646477
37203.0,-0.20464523
37204.0,0.092447095
37205.0,0.05519742
37206.0,0.27774915
37207.0,0.26851267
37208.0,0.018681467
37209.0,0.2663591
37210.0,0.44571823
37211.0,0.718194
37212.0,0.5812154
37213.0,0.90963644
37214.0,0.8521022
37215.0,1.0231895
37216.0,0.8918006
37217.0,0.86775357
37218.0,0.8131968
37219.0,0.89489377
37220.0,1.0625564
37221.0,0.80406016
37222.0,0.32206395
37223.0,0.20009156
37224.0,0.30636543
37225.0,0.21004446
37226.0,0.2415348
37227.0,0.51456153
37228.0,0.4201615
37229.0,0.37941962
37230.0,0.8685287
37231.0,0.94092864
37232.0,0.81750935
37233.0,1.1146524
37234.0,1.1744335
37235.0,1.1970915
37236.0,1.0036542
37237.0,0.9972723
37238.0,0.6721156
37239.0,1.0130426
37240.0,1.3334432
37241.0,1.4170886
37242.0,1.4523095
37243.0,1.5881684
37244.0,1.6015294
37245.0,1.7620978
37246.0,1.5672835
37247.0,1.4621
37248.0,1.4620008
37249.0,1.3543552
37250.0,1.7893807
37251.0,1.6810611
37252.0,1.5877504
37253.0,1.5497932
37254.0,1.7749419
37255.0,1.6644043
37256.0,1.8532307
37257.0,1.56821
37258.0,1.5236442
37259.0,1.3483893
37260.0,1.3195759
37261.0,1.1822307
